,index,0,1,2,3,4
0,fiscalDateEnding,2022-12-31,2021-12-31,2020-12-31,2019-12-31,2018-12-31
1,reportedCurrency,USD,USD,USD,USD,USD
2,operatingCashflow,14724000000,11497000000,5943000000,2405000000,2098000000
3,paymentsForOperatingActivities,2184000000,1532000000,1115000000,1009000000,443545000
5,changeInOperatingLiabilities,9064000000,5847000000,2918000000,1592000000,2289477000
6,changeInOperatingAssets,11557000000,-3401000000,1669000000,969000000,1602121000
7,depreciationDepletionAndAmortization,2913000000,2381000000,2149000000,1901000000,1268730000
8,capitalExpenditures,7158000000,7982000000,3167000000,1332000000,2100724000
9,changeInReceivables,1124000000,-130000000,652000000,367000000,496732000
10,changeInInventory,6465000000,1709000000,422000000,429000000,1023000000
11,profitLoss,12587000000,5644000000,862000000,-775000000,-1063000000
12,cashflowFromInvestment,-11973000000,-7868000000,-3132000000,-1436000000,-2337000000
13,cashflowFromFinancing,-3527000000,-5203000000,9973000000,1529000000,574000000
21,proceedsFromIssuanceOfCommonStock,0,0,12269000000,848000000,0
23,proceedsFromIssuanceOfPreferredStock,0,0,0,174000000,0
24,proceedsFromRepurchaseOfEquity,541000000,707000000,12686000000,1285000000,295711000
25,proceedsFromSaleOfTreasuryStock,0,0,0,0,0
26,changeInCashAndCashEquivalents,0,-1574000000,12784000000,2498000000,334129000
28,netIncome,12556000000,5519000000,721000000,-862000000,-976000000
